ID_VENTA;FECHA;NUM_DOCUMENTO_VENDEDOR;ID_PRODUCTO;CANTIDAD;VALOR_TOTAL
V00001;2025-03-10;0454992780;PROD012;9;1993.16
V00002;2025-02-28;0509057752;PROD003;5;1532.96
V00003;2025-02-26;0623017989;PROD002;2;741.85
V00004;2025-03-03;0352113117;PROD007;9;2280.25
V00005;2025-03-11;0808047131;PROD004;1;121.65
V00006;2025-03-03;0412663333;PROD014;7;3605.45
V00007;2025-03-08;0003132289;PROD006;7;5447.62
V00008;2025-03-09;0791481910;PROD014;4;2110.28
V00009;2025-02-20;0027409284;PROD008;10;562.61
V00010;2025-03-05;0380493418;PROD003;2;731.62
V00011;2025-02-20;0129249678;PROD008;2;175.86
V00012;2025-03-06;0485485901;PROD007;8;3807.12
V00013;2025-03-17;0495560909;PROD013;8;3590.95
V00014;2025-02-28;0499599881;PROD006;3;2213.99
V00015;2025-02-24;0012915449;PROD005;3;716.67
V00016;2025-03-22;0034152710;PROD014;3;1255.35
V00017;2025-02-26;0500250171;PROD014;3;2320.81
V00018;2025-02-20;0281437335;PROD010;4;1073.19
V00019;2025-02-25;0098881073;PROD008;5;410.83
V00020;2025-03-07;0854844887;PROD012;2;216.33
